iter	Logloss
0	0.67623769
1	0.6602828173
2	0.6463960318
3	0.634269873
4	0.6231919378
5	0.6130392128
6	0.6043955757
7	0.5973758437
8	0.5898597069
9	0.5835762772
10	0.5776133636
11	0.5725191947
12	0.5678232956
13	0.5636604295
14	0.5601814619
15	0.5566120114
16	0.5534521455
17	0.5503579206
18	0.5478041995
19	0.545337371
20	0.5429699105
21	0.5409562218
22	0.5393431964
23	0.5374742078
24	0.535798733
25	0.5342293715
26	0.5328076114
27	0.5317503215
28	0.5306138998
29	0.5296345086
30	0.5287788921
31	0.5278186855
32	0.5270537333
33	0.5260970081
34	0.5254296831
35	0.5248345994
36	0.5240570268
37	0.5233383133
38	0.5228025603
39	0.5222889656
40	0.5218030416
41	0.5210762409
42	0.520613527
43	0.5200164849
44	0.519657237
45	0.5191704789
46	0.5187244835
47	0.5183103655
48	0.5177802337
49	0.5172895226
50	0.5168898747
51	0.5164758656
52	0.515975254
53	0.5156112916
54	0.5153585922
55	0.5148986708
56	0.514572207
57	0.5143081928
58	0.5139233413
59	0.5134415516
60	0.5132086171
61	0.5126748587
62	0.5122269048
63	0.5118673305
64	0.5115673045
65	0.5111157966
66	0.5106228734
67	0.5103661123
68	0.5098496163
69	0.5095788567
70	0.5090980462
71	0.5088449117
72	0.508514096
73	0.5081625727
74	0.507795165
75	0.5073698047
76	0.5070055159
77	0.5067970969
78	0.5064706332
79	0.5061281763
80	0.5058187574
81	0.5055198919
82	0.5051854859
83	0.5048926768
84	0.5047662546
85	0.5044999193
86	0.5040811957
87	0.5037942615
88	0.5036251184
89	0.5034176786
90	0.5031151502
91	0.5027767914
92	0.5025607929
93	0.5022860803
94	0.5020242783
95	0.5016638336
96	0.5012386909
97	0.5009220189
98	0.5006796553
99	0.500360082
100	0.5001009637
101	0.4998436949
102	0.4994262043
103	0.4991271574
104	0.4986772452
105	0.4983492583
106	0.4978959372
107	0.4974995169
108	0.4973703023
109	0.4970283894
110	0.4968313579
111	0.4964970607
112	0.4962453406
113	0.4959714621
114	0.4956807563
115	0.4953827974
116	0.4951627735
117	0.4948347503
118	0.4946073644
119	0.4944222281
120	0.49432257
121	0.4939700312
122	0.4936386353
123	0.49352244
124	0.4931606898
125	0.4927417485
126	0.4923444942
127	0.4920605701
128	0.4917232992
129	0.4915026587
130	0.4912021249
131	0.4909589635
132	0.490566061
133	0.4903580773
134	0.4898896334
135	0.4894778727
136	0.4893363277
137	0.4890505903
138	0.488759123
139	0.488462651
140	0.488188845
141	0.4879605888
142	0.487719023
143	0.4873726131
144	0.4871229601
145	0.4869318399
146	0.4866796121
147	0.486392279
148	0.4861660899
149	0.4859184678
150	0.4857027594
151	0.4854179287
152	0.4850422887
153	0.4848001064
154	0.4845075511
155	0.4842953968
156	0.4839094211
157	0.4834856928
158	0.4832877546
159	0.4830275483
160	0.4827727818
161	0.4823531153
162	0.4820397797
163	0.4816988822
164	0.4813831168
165	0.4809467318
166	0.4806218275
167	0.4803286919
168	0.4801651336
